timestamp,object_id,position_x,position_y,size,velocity,color
1512171331,1,44,44,97,53,26939
1512172331,2,57,34,81,90,98926
1512173331,3,73,27,42,88,55407
1512174331,4,91,30,56,1,67192
1512175331,5,73,10,41,92,77986
1512176331,6,28,76,92,32,30384
1512177331,7,48,79,59,24,62862
1512178331,8,38,58,42,18,37499
1512179331,9,85,6,72,42,50621
1512180331,10,16,69,7,63,27454
1512181331,11,74,49,84,53,22812
1512182331,12,91,58,16,26,41370
1512183331,13,4,80,1,49,80009
1512184331,14,94,31,91,55,37491
1512185331,15,76,49,65,46,24597
1512186331,16,96,5,3,84,23342
1512187331,17,5,76,75,22,74039
1512188331,18,61,55,83,14,69400
1512189331,19,22,14,9,68,70245
1512190331,1,65,75,1,87,74474
1512191331,2,95,76,66,93,64577
1512192331,3,64,47,94,11,25289
1512193331,4,12,26,66,22,10050
1512194331,5,56,21,83,84,65952
1512195331,6,100,64,66,14,75051
1512196331,7,36,54,48,28,19494
1512197331,8,27,33,60,26,13790
1512198331,9,61,74,55,38,49260
1512199331,10,85,87,38,91,50248
1512200331,11,12,82,10,3,44170
1512201331,12,92,68,14,71,52569
1512202331,13,30,3,83,11,24076
1512203331,14,50,69,64,38,64740
1512204331,15,7,64,92,44,83317
1512205331,16,96,53,40,14,52093
1512206331,17,52,80,43,59,40532
1512207331,18,61,90,48,73,84689
1512208331,19,34,49,54,40,46641
1512209331,1,37,64,65,63,64876
1512210331,2,47,85,71,35,13089
1512211331,3,46,85,43,69,84273
1512212331,4,50,61,100,61,39650
1512213331,5,58,9,32,20,79351
1512214331,6,84,73,60,43,86252
1512215331,7,37,66,70,44,64193
1512216331,8,32,23,99,48,26200
1512217331,9,28,83,78,2,52331
1512218331,10,92,68,40,42,50890
1512219331,11,73,50,82,61,11099
