timestamp,object_id,position_x,position_y,size,velocity,color
1512171331,1,63,17,9,97,73984
1512172331,2,52,19,51,29,27199
1512173331,3,67,11,54,32,79470
1512174331,4,35,40,52,23,16580
1512175331,5,55,4,26,25,48925
1512176331,6,64,61,42,78,90423
1512177331,7,70,21,20,76,24312
1512178331,8,60,60,55,42,41037
1512179331,9,56,20,11,43,18923
1512180331,10,75,43,72,35,95691
1512181331,11,60,42,36,31,71454
1512182331,12,74,51,51,22,56355
1512183331,13,99,25,66,62,51202
1512184331,14,71,2,79,53,43904
1512185331,15,52,78,87,83,90370
1512186331,16,23,58,96,5,17673
1512187331,17,80,72,7,70,95483
1512188331,18,80,63,41,48,81703
1512189331,19,81,75,14,25,55783
1512190331,1,69,84,15,91,31502
1512191331,2,55,35,97,33,49471
1512192331,3,63,83,72,76,13536
1512193331,4,35,61,32,18,71007
1512194331,5,76,4,35,11,11004
1512195331,6,45,62,70,5,21775
1512196331,7,80,81,41,39,33258
1512197331,8,57,46,71,23,51397
1512198331,9,85,18,20,84,20652
1512199331,10,80,53,50,67,54004
1512200331,11,15,23,7,19,72917
1512201331,12,89,30,76,28,73433
1512202331,13,19,19,90,96,75184
1512203331,14,1,79,29,54,71101
1512204331,15,87,45,65,19,20032
1512205331,16,69,18,93,99,64151
1512206331,17,82,22,67,13,61904
1512207331,18,4,18,38,20,86623
1512208331,19,46,21,2,47,84667
1512209331,1,4,47,90,21,95673
1512210331,2,2,4,75,53,65983
1512211331,3,40,33,22,46,11654
1512212331,4,8,64,86,21,79954
1512213331,5,38,64,3,86,53065
1512214331,6,50,67,63,8,66645
1512215331,7,71,22,30,65,79590
1512216331,8,79,33,52,12,27459
1512217331,9,67,35,41,11,61258
1512218331,10,55,2,95,98,95905
1512219331,11,14,45,55,72,39021
