timestamp,object_id,position_x,position_y,size,velocity,color
1512219331,1,19,4,23,78,18540
1512218331,2,46,79,12,12,53926
1512217331,3,99,45,60,24,199
1512216331,4,66,20,96,79,78391
1512215331,5,79,29,28,36,44688
1512214331,6,26,55,27,96,93533
1512213331,7,91,59,2,19,11864
1512212331,8,80,74,69,83,81085
1512211331,9,13,72,76,37,28621
1512210331,10,53,45,29,97,11061
1512209331,11,89,57,63,89,44196
1512208331,12,33,20,99,13,89538
1512207331,13,53,83,23,86,37773
1512206331,14,30,30,13,72,59430
1512205331,15,93,1,61,59,15747
1512204331,16,67,4,22,52,31811
1512203331,17,23,65,16,16,37809
1512202331,18,52,29,71,83,75598
1512201331,19,37,81,81,32,83544
1512200331,20,16,41,24,82,50532
1512199331,21,20,51,72,44,78694
1512198331,22,76,22,100,10,98395
1512197331,23,70,38,44,61,16234
1512196331,24,10,18,63,30,49798
1512195331,25,80,61,22,32,6996
1512194331,26,15,17,95,98,5516
1512193331,27,29,11,83,24,10160
1512192331,28,83,22,96,60,33496
1512191331,29,51,98,59,73,75240
1512190331,30,46,22,35,58,3224
1512189331,31,34,76,100,40,78228
1512188331,32,90,13,86,85,94956
1512187331,33,62,95,42,38,83930
1512186331,34,73,63,40,62,22617
1512185331,35,79,35,59,21,78879
1512184331,36,52,54,19,27,42585
1512183331,37,67,87,10,66,63432
1512182331,38,70,9,4,80,88313
1512181331,39,71,73,45,8,17724
1512180331,40,32,83,35,71,69032
1512179331,41,93,87,66,81,89207
1512178331,42,27,61,67,86,68286
1512177331,43,51,17,91,13,86733
1512176331,44,76,13,34,46,23494
1512175331,45,41,81,90,19,23510
1512174331,46,65,3,41,28,73623
1512173331,47,50,26,29,6,17207
1512172331,48,31,36,56,67,95464
1512171331,49,16,49,39,25,70161
