timestamp,object_id,position_x,position_y,size,velocity,color
1512219331,1,31,44,68,24,73496
1512218331,2,33,6,52,9,41576
1512217331,3,77,62,34,57,84372
1512216331,4,22,23,49,7,60331
1512215331,5,87,73,79,4,6791
1512214331,6,94,50,93,26,25947
1512213331,7,9,86,58,89,4006
1512212331,8,39,24,39,33,71172
1512211331,9,76,38,56,92,89647
1512210331,10,32,60,37,11,62510
1512209331,11,82,8,6,5,40750
1512208331,12,30,34,61,64,7757
1512207331,13,40,16,94,23,39622
1512206331,14,94,45,89,21,22520
1512205331,15,100,40,63,22,49294
1512204331,16,98,32,3,32,82753
1512203331,17,51,83,79,92,42646
1512202331,18,74,35,45,81,26510
1512201331,19,100,75,82,42,40728
1512200331,20,1,3,97,55,57691
1512199331,21,52,40,15,23,16102
1512198331,22,83,12,56,7,8089
1512197331,23,90,7,35,17,17104
1512196331,24,83,50,24,24,40484
1512195331,25,23,22,43,18,83958
1512194331,26,44,43,96,54,84229
1512193331,27,37,69,57,91,72692
1512192331,28,98,7,48,44,71740
1512191331,29,24,15,27,69,16293
1512190331,30,36,30,45,77,12595
1512189331,31,54,28,48,54,15691
1512188331,32,68,12,34,10,92233
1512187331,33,39,64,41,11,12731
1512186331,34,35,50,8,1,62818
1512185331,35,46,30,8,8,12476
1512184331,36,47,42,2,77,31582
1512183331,37,81,56,5,42,76473
1512182331,38,98,75,89,29,98534
1512181331,39,63,5,76,78,3680
1512180331,40,63,97,44,99,81000
1512179331,41,73,53,36,9,42500
1512178331,42,6,11,32,100,58112
1512177331,43,32,4,7,82,87382
1512176331,44,68,86,63,86,21820
1512175331,45,34,57,43,31,49114
1512174331,46,49,88,1,46,79573
1512173331,47,80,99,97,97,11728
1512172331,48,75,34,7,28,49192
1512171331,49,55,46,38,85,77584
